y,x,street_count,elevation,highway,ref,railway,geometry
-23.5482606,-46.632462,3,750.4418334960938,,,,POINT (-46.632462 -23.5482606)
-23.5483711,-46.6327778,4,747.7320556640625,,,,POINT (-46.6327778 -23.5483711)
-23.5487396,-46.6326171,3,750.2767333984375,,,,POINT (-46.6326171 -23.5487396)
-23.5497736,-46.6307917,4,740.1282958984375,traffic_signals,,,POINT (-46.6307917 -23.5497736)
-23.5482349,-46.638363,3,733.8223266601562,,,,POINT (-46.638363 -23.5482349)
-23.547958,-46.6381083,4,733.87255859375,crossing,,,POINT (-46.6381083 -23.547958)
-23.54701,-46.6379608,3,731.5676879882812,,,,POINT (-46.6379608 -23.54701)
-23.5470445,-46.6381737,3,732.2830200195312,,,,POINT (-46.6381737 -23.5470445)
-23.5493392,-46.6413788,3,735.35986328125,,,,POINT (-46.6413788 -23.5493392)
-23.549039,-46.640862,3,734.248779296875,,,,POINT (-46.640862 -23.549039)
-23.5489694,-46.6402488,3,733.6348266601562,,,,POINT (-46.6402488 -23.5489694)
-23.5474587,-46.6380116,3,730.5623168945312,,,,POINT (-46.6380116 -23.5474587)
-23.5488779,-46.6377087,3,745.676025390625,,,,POINT (-46.6377087 -23.5488779)
-23.5477248,-46.6369703,3,748.6644897460938,,,,POINT (-46.6369703 -23.5477248)
-23.5491038,-46.6379772,4,743.1926879882812,,,,POINT (-46.6379772 -23.5491038)
-23.5485877,-46.6386352,3,732.8162841796875,,,,POINT (-46.6386352 -23.5485877)
-23.5480934,-46.639266,4,733.9904174804688,,,,POINT (-46.639266 -23.5480934)
-23.548471,-46.6390938,3,732.6677856445312,,,,POINT (-46.6390938 -23.548471)
-23.5484984,-46.6403711,4,735.8258056640625,traffic_signals,,,POINT (-46.6403711 -23.5484984)
-23.5484553,-46.6397893,3,736.1627197265625,,,,POINT (-46.6397893 -23.5484553)
-23.546394,-46.6408972,3,757.5054321289062,,,,POINT (-46.6408972 -23.546394)
-23.5461414,-46.6410825,4,758.2676391601562,crossing,,,POINT (-46.6410825 -23.5461414)
-23.5452539,-46.6398582,3,767.2066650390625,,,,POINT (-46.6398582 -23.5452539)
-23.5454372,-46.6396292,3,757.9515380859375,,,,POINT (-46.6396292 -23.5454372)
-23.5444971,-46.6408117,4,747.6893920898438,,,,POINT (-46.6408117 -23.5444971)
-23.5438959,-46.6400609,4,757.2027587890625,,,,POINT (-46.6400609 -23.5438959)
-23.5448939,-46.6387906,3,745.5552978515625,,,,POINT (-46.6387906 -23.5448939)
-23.5430439,-46.6389998,3,742.692626953125,,,,POINT (-46.6389998 -23.5430439)
-23.5423589,-46.6402358,4,745.6138305664062,traffic_signals,,,POINT (-46.6402358 -23.5423589)
-23.5422929,-46.6403522,4,745.7193603515625,traffic_signals,,,POINT (-46.6403522 -23.5422929)
-23.5427306,-46.6383847,3,742.213134765625,,,,POINT (-46.6383847 -23.5427306)
-23.5424634,-46.6379555,4,741.6006469726562,traffic_signals,,,POINT (-46.6379555 -23.5424634)
-23.5417084,-46.6367287,5,741.2778930664062,traffic_signals,,,POINT (-46.6367287 -23.5417084)
-23.5408823,-46.636466,3,743.66162109375,traffic_signals,,,POINT (-46.636466 -23.5408823)
-23.5399767,-46.6362899,4,744.54833984375,traffic_signals,,,POINT (-46.6362899 -23.5399767)
-23.5404993,-46.6376895,4,742.8142700195312,traffic_signals,,,POINT (-46.6376895 -23.5404993)
-23.5403957,-46.6377642,4,742.8494262695312,traffic_signals,,,POINT (-46.6377642 -23.5403957)
-23.5396931,-46.6382755,4,743.4117431640625,traffic_signals,,,POINT (-46.6382755 -23.5396931)
-23.5398622,-46.6367038,4,742.32958984375,traffic_signals,,,POINT (-46.6367038 -23.5398622)
-23.5395181,-46.6363332,3,742.3763427734375,,,,POINT (-46.6363332 -23.5395181)
-23.541116,-46.6388756,4,743.8212890625,traffic_signals,,,POINT (-46.6388756 -23.541116)
-23.5412184,-46.639009,4,743.9795532226562,traffic_signals,,,POINT (-46.639009 -23.5412184)
-23.5416285,-46.6393206,3,748.3729858398438,,,,POINT (-46.6393206 -23.5416285)
-23.5413203,-46.6389315,4,744.1388549804688,traffic_signals,,,POINT (-46.6389315 -23.5413203)
-23.5412172,-46.6387981,4,743.763916015625,traffic_signals,,,POINT (-46.6387981 -23.5412172)
-23.5405006,-46.6393453,4,744.1202392578125,traffic_signals,,,POINT (-46.6393453 -23.5405006)
-23.5397563,-46.6399082,4,743.4067993164062,traffic_signals,,,POINT (-46.6399082 -23.5397563)
-23.5390319,-46.6406596,3,743.378662109375,crossing,,,POINT (-46.6406596 -23.5390319)
-23.5398447,-46.6400458,4,743.6470336914062,traffic_signals,,,POINT (-46.6400458 -23.5398447)
-23.5406004,-46.6394753,4,744.2659912109375,traffic_signals,,,POINT (-46.6394753 -23.5406004)
-23.5415245,-46.6393921,3,747.3690795898438,,,,POINT (-46.6393921 -23.5415245)
-23.5409256,-46.6398991,3,749.3287963867188,,,,POINT (-46.6398991 -23.5409256)
-23.5455523,-46.6440881,4,753.996826171875,traffic_signals,,,POINT (-46.6440881 -23.5455523)
-23.5445891,-46.6430751,3,748.215576171875,,,,POINT (-46.6430751 -23.5445891)
-23.5442827,-46.6426976,3,747.4404907226562,traffic_signals,,,POINT (-46.6426976 -23.5442827)
-23.5436353,-46.6418803,4,747.1182861328125,traffic_signals,,,POINT (-46.6418803 -23.5436353)
-23.5430648,-46.641106,3,746.2764892578125,traffic_signals,,,POINT (-46.641106 -23.5430648)
-23.5460547,-46.6448862,4,753.897216796875,traffic_signals,,,POINT (-46.6448862 -23.5460547)
-23.5461913,-46.645043,4,754.2173461914062,,,,POINT (-46.645043 -23.5461913)
-23.5472677,-46.6473157,3,758.7178344726562,traffic_signals,,,POINT (-46.6473157 -23.5472677)
-23.5476337,-46.6478672,4,759.036865234375,,,,POINT (-46.6478672 -23.5476337)
-23.5473332,-46.64594,4,761.1288452148438,traffic_signals,,,POINT (-46.64594 -23.5473332)
-23.5474811,-46.6453105,4,766.7572631835938,traffic_signals,,,POINT (-46.6453105 -23.5474811)
-23.5481405,-46.6425375,3,754.9723510742188,crossing,,,POINT (-46.6425375 -23.5481405)
-23.5478539,-46.6427241,5,754.7001342773438,traffic_signals,,,POINT (-46.6427241 -23.5478539)
-23.5437871,-46.6443977,3,747.9974365234375,,,,POINT (-46.6443977 -23.5437871)
-23.5432947,-46.6438268,3,747.2343139648438,traffic_signals,,,POINT (-46.6438268 -23.5432947)
-23.5426524,-46.6430822,3,744.9447021484375,traffic_signals,,,POINT (-46.6430822 -23.5426524)
-23.5438673,-46.6455211,4,746.2603149414062,traffic_signals,,,POINT (-46.6455211 -23.5438673)
-23.5438391,-46.6465778,4,744.2818603515625,traffic_signals,,,POINT (-46.6465778 -23.5438391)
-23.5438136,-46.6476847,4,744.9240112304688,traffic_signals,,,POINT (-46.6476847 -23.5438136)
-23.5447717,-46.6445432,3,753.115478515625,traffic_signals,,,POINT (-46.6445432 -23.5447717)
-23.5454935,-46.6447443,4,752.0384521484375,traffic_signals,,,POINT (-46.6447443 -23.5454935)
-23.5454704,-46.64557,4,751.8231811523438,traffic_signals,,,POINT (-46.64557 -23.5454704)
-23.5454408,-46.6466293,4,747.96337890625,traffic_signals,,,POINT (-46.6466293 -23.5454408)
-23.5447452,-46.6455476,4,749.5322265625,traffic_signals,,,POINT (-46.6455476 -23.5447452)
-23.5447172,-46.646606,4,746.9490356445312,traffic_signals,,,POINT (-46.646606 -23.5447172)
-23.544688,-46.6477135,4,747.7288818359375,traffic_signals,,,POINT (-46.6477135 -23.544688)
-23.5460667,-46.6456025,3,754.3966674804688,,,,POINT (-46.6456025 -23.5460667)
-23.5459956,-46.6459808,3,757.5528564453125,,,,POINT (-46.6459808 -23.5459956)
-23.5458711,-46.6466427,3,755.383056640625,,,,POINT (-46.6466427 -23.5458711)
-23.5452451,-46.6417454,3,759.4243774414062,,,,POINT (-46.6417454 -23.5452451)
-23.5449097,-46.6428082,3,753.1740112304688,,,,POINT (-46.6428082 -23.5449097)
-23.5445629,-46.6423929,4,749.0151977539062,,,,POINT (-46.6423929 -23.5445629)
-23.5459434,-46.642455,1,763.9008178710938,turning_circle,,,POINT (-46.642455 -23.5459434)
-23.5477427,-46.6414316,3,751.595703125,traffic_signals,,,POINT (-46.6414316 -23.5477427)
-23.5410769,-46.6355564,4,735.2570190429688,crossing,,,POINT (-46.6355564 -23.5410769)
-23.5410393,-46.6354996,3,735.6791381835938,,,,POINT (-46.6354996 -23.5410393)
-23.5402487,-46.6353429,3,738.2537231445312,,,,POINT (-46.6353429 -23.5402487)
-23.5391957,-46.6349941,4,740.044677734375,traffic_signals,,,POINT (-46.6349941 -23.5391957)
-23.5390727,-46.6349547,4,739.68603515625,traffic_signals,,,POINT (-46.6349547 -23.5390727)
-23.5378601,-46.6345887,4,738.09814453125,traffic_signals,,,POINT (-46.6345887 -23.5378601)
-23.5393642,-46.6342911,3,736.6048583984375,,,,POINT (-46.6342911 -23.5393642)
-23.5388655,-46.635692,3,740.138427734375,,,,POINT (-46.635692 -23.5388655)
-23.539082,-46.6361063,4,741.2316284179688,traffic_signals,,,POINT (-46.6361063 -23.539082)
-23.5396351,-46.6337347,3,733.3051147460938,,,,POINT (-46.6337347 -23.5396351)
-23.5393741,-46.6333347,3,733.9030151367188,,,,POINT (-46.6333347 -23.5393741)
-23.540853,-46.6332553,3,733.193115234375,,,,POINT (-46.6332553 -23.540853)
-23.5454484,-46.6347624,3,762.623046875,,,,POINT (-46.6347624 -23.5454484)
-23.5463722,-46.6352862,4,760.0979614257812,,,,POINT (-46.6352862 -23.5463722)
-23.5460567,-46.6360265,4,744.3121948242188,traffic_signals,,,POINT (-46.6360265 -23.5460567)
-23.5432428,-46.6333572,3,743.2938842773438,,,,POINT (-46.6333572 -23.5432428)
-23.542609,-46.6353462,3,728.386474609375,,,,POINT (-46.6353462 -23.542609)
-23.5429146,-46.6355744,1,728.8384399414062,,,,POINT (-46.6355744 -23.5429146)
-23.5463594,-46.6334599,3,748.3331298828125,traffic_signals,,,POINT (-46.6334599 -23.5463594)
-23.5462717,-46.6316926,3,724.3126831054688,traffic_signals,,,POINT (-46.6316926 -23.5462717)
-23.5479521,-46.6308565,4,725.1482543945312,traffic_signals,,,POINT (-46.6308565 -23.5479521)
-23.5476603,-46.6303368,3,725.6400756835938,traffic_signals,,,POINT (-46.6303368 -23.5476603)
-23.5456441,-46.6312027,4,724.9144897460938,traffic_signals,,,POINT (-46.6312027 -23.5456441)
-23.5451914,-46.6310288,3,724.4929809570312,,,,POINT (-46.6310288 -23.5451914)
-23.5450011,-46.6310702,5,724.3285522460938,traffic_signals,,,POINT (-46.6310702 -23.5450011)
-23.5496428,-46.6451005,3,763.4655151367188,,,,POINT (-46.6451005 -23.5496428)
-23.5493978,-46.6445039,3,757.4163818359375,crossing,,,POINT (-46.6445039 -23.5493978)
-23.5499711,-46.646167,4,758.1605834960938,traffic_signals,,,POINT (-46.646167 -23.5499711)
-23.5486912,-46.6472672,3,765.1243896484375,,,,POINT (-46.6472672 -23.5486912)
-23.5486181,-46.6427395,3,755.6546630859375,,,,POINT (-46.6427395 -23.5486181)
-23.550554,-46.6421124,4,748.7982788085938,traffic_signals,,,POINT (-46.6421124 -23.550554)
-23.5504978,-46.6419753,4,748.1464233398438,traffic_signals,,,POINT (-46.6419753 -23.5504978)
-23.5496447,-46.6339021,4,754.8569946289062,traffic_signals,,,POINT (-46.6339021 -23.5496447)
-23.5494292,-46.6349474,3,766.7139282226562,,,,POINT (-46.6349474 -23.5494292)
-23.5350281,-46.6369291,4,739.16552734375,traffic_signals,,,POINT (-46.6369291 -23.5350281)
-23.5351496,-46.6370875,3,739.1317138671875,,,,POINT (-46.6370875 -23.5351496)
-23.5351586,-46.6379045,3,739.7850341796875,traffic_signals,,,POINT (-46.6379045 -23.5351586)
-23.5351281,-46.6384288,3,740.0995483398438,,,,POINT (-46.6384288 -23.5351281)
-23.5337797,-46.6373489,3,737.0204467773438,traffic_signals,,,POINT (-46.6373489 -23.5337797)
-23.5348546,-46.6400479,6,741.51025390625,,,,POINT (-46.6400479 -23.5348546)
-23.5327861,-46.6313039,3,732.0161743164062,,,,POINT (-46.6313039 -23.5327861)
